Full Name,Birthday,Address,Phone,Position,Year of experiences,Education,Number of certificates,Number of Projects,GPA,TOEIC/IELTS,Result
Lin Chun Sung,1985,Hà Nội,903787685,Kĩ thuật viên bảo trì,4,Đại học Khoa học Tự nhiên,4,5,2.649594527078892,không,Đậu
Hồ Thị Hiệp,1995,Hà Nội,903810043,Nhân viên Marketing Media,3,Đại học Mở,3,4,3.9989414569853605,không,Đậu
Trần Thị Hương,1986,Bình Dương,903333369,IT Helpdesk,0,Đại học Mở,0,0,3.887306225272413,không,Rớt
Trầm Quốc Đ,1982,Tp. Hồ Chí Minh,913911835,IT Helpdesk,2,Đại học GTVT,5,3,3.7607847031721824,có ,Đậu
Huỳnh Hồng Mật,1997,Đồng Nai,989550988,Kĩ thuật viên bảo trì,2,Đại học Hồng Bàng,0,3,3.8809191245528822,không,Đậu
Ian Skies,1983,Đồng Nai,903927710,Lập trình viên ứng dụng di động,4,Đại học Văn Hiến,3,5,3.8741740632140003,không,Đậu
Phạm Văn Lâm,1990,Tp. Hồ Chí Minh,903335558,Kĩ thuật viên kiểm thử phần mềm,2,Đại học Hồng Bàng,3,3,2.5438025639197597,không,Đậu
Lu Ching Fu,1988,Bình Dương,903659123,Chuyên viên triển khai dự án,4,Đại học Quốc tế Sài Gòn,3,5,2.9290556448042735,có ,Đậu
Nguyễn Đình Quân,1996,Đồng Nai,913666692,Chuyên viên triển khai dự án,4,Đại học Nông lâm,0,5,2.60812681737977,có ,Đậu
Tạ Chí C,1989,Đồng Nai,909339659,IT Helpdesk,2,Đại học Bách Khoa,5,3,3.668280817935185,có ,Đậu
Trần Trung Chánh,1982,Bình Dương,90810043,Kĩ thuật viên an ninh mạng,3,Đại học ngoại ngữ - tin học,3,4,3.2009440287086854,không,Đậu
Kaz Kawachi,1994,Tp. Hồ Chí Minh,903844528,Chuyên viên phân tích hệ thống,2,Đại học ngoại ngữ - tin học,2,3,3.9916355018785135,không,Đậu
Zhang Ziwei,1983,Tp. Hồ Chí Minh,903805956,Nhân viên lễ tân,2,Đại học Trần Đại Nghĩa,3,3,3.7324292025987345,có ,Đậu
Tseng Yao Feng,1983,Bình Dương,908410817,Lập trình viên Backend Website,5,Đại học Khoa học Tự nhiên,5,6,2.8421992218044996,có ,Đậu
Ku Ying Huai,1998,Bình Dương,913262623,Nhân viên Marketing Online,3,Đại học Văn Hiến,3,4,2.7793749549745237,có ,Đậu
Tony Sulimro,1991,Bình Dương,903847513,IT Helpdesk,5,Đại học Công nghệ thông tin,0,6,3.4931382163894744,có ,Đậu
Zhang Hong Yan,1983,Bình Dương,903834544,IT Support,4,Đại học Nông lâm,4,5,2.5930726626240435,có ,Đậu
Wang Chih Chao,1997,Đồng Nai,903800205,Kĩ thuật viên an toàn thông tin,1,Đại học Quốc tế Sài Gòn,4,2,2.9545328761992176,không,Rớt
Chu Ming Ho,1981,Bình Dương,908887868,Lập trình viên ứng dụng di động,1,Đại học Văn Hiến,2,2,2.841262594975078,không,Rớt
Yen Jun Ching,1981,Bình Dương,903358845,Nhân viên Marketing Media,0,Đại học Đồng Nai,5,0,3.8188426719982473,có ,Rớt
Steven Lee,1985,Bình Dương,903821120,Kĩ thuật viên an ninh mạng,5,Đại học Ngoại thương,2,6,3.14610919448209,không,Đậu
Nguyễn Văn Hưng,1989,Bình Dương,913640825,Lập trình viên Backend Website,3,Đại học Tôn Đức Thắng,4,4,2.655455471300429,có ,Đậu
Lê Văn Toán,1989,Đồng Nai,918345704,Nhân viên Content Marketing,0,Đại học Công nghiệp,1,0,3.832439316907702,không,Rớt
Lê Bình Hưng,1983,Hà Nội,913809183,Nhân viên tư vấn dịch vụ,4,Đại học Tôn Đức Thắng,0,5,3.0966970151721496,có ,Đậu
Nguyễn Hoàng Nhân,1988,Bình Dương,903659850,Kĩ thuật viên an toàn thông tin,2,Đại học Trần Đại Nghĩa,5,3,3.7629745836030355,không,Đậu
Phu Mỹ Kiều,1996,Bình Dương,903123459,Kĩ thuật viên kiểm thử phần mềm,5,Đại học Hoa sen,5,6,3.879439970974291,không,Đậu
Vũ Thị Thu Loan,1982,Phú Yên,905129539,Chuyên viên SEO,2,Đại học HUTECH,1,3,2.616859161201006,có ,Đậu
Phạm Quốc Trị,1986,Bình Dương,903702314,Nhân viên lễ tân,3,Đại học GTVT,5,4,3.3750062940520618,không,Đậu
Nguyễn Kim Hưng,1980,Bình Dương,903919331,Chuyên viên hỗ trợ người dùng,2,Đại học Nguyễn Tất Thành,3,3,3.329209197784179,không,Đậu
Tsai Cheng Po,1981,Đồng Nai,9033411280,Chuyên viên hỗ trợ người dùng,3,Đại học Trần Đại Nghĩa,4,4,3.4454660342670125,có ,Đậu
Thân Văn Do,1983,Bình Dương,933670600,Nhân viên nhân sự,5,Đại học ngoại ngữ - tin học,0,6,3.994225584758321,không,Đậu
Trần Văn Ngọc,1981,Đồng Nai,908637719,Chuyên viên phân tích hệ thống,0,Đại học HUTECH,2,0,2.7598149705632182,không,Rớt
Đoàn Văn Bình,1992,Tp. Hồ Chí Minh,903737826,Chuyên viên chăm sóc khách hàng,0,Đại học Ngoại thương,0,0,2.559291675616866,có ,Rớt
Huỳnh Yang Hưng,1986,Tp. Hồ Chí Minh,906839172,Chuyên viên phân tích dữ liệu,5,Đại học Tôn Đức Thắng,2,6,3.9575892807584054,không,Đậu
Lê Thị Tiền,1993,Tp. Hồ Chí Minh,913807978,Lập trình viên Backend Website,1,Đại học sư phạm kĩ thuật,4,2,3.149181632154966,không,Rớt
Nguyễn Tất Thắng,1980,Bình Dương,903907001,Nhân viên bán hàng,3,Đại học Mở,5,4,2.653091290819727,có ,Đậu
Thái Vy Ngân,1993,Bình Dương,918498984,Kĩ thuật viên an toàn thông tin,2,Đại học ngoại ngữ - tin học,5,3,3.3559148019089884,có ,Đậu
Nguyễn Văn Vinh,1983,Tp. Hồ Chí Minh,913492477,Chuyên viên chăm sóc khách hàng,0,Đại học sư phạm kĩ thuật,1,0,3.0016861426787553,có ,Rớt
Nguyễn Xuân Thành,1981,Bình Định,908834266,Lập trình viên Frontend Website,3,Đại học Mở,1,4,2.532503232374842,có ,Đậu
Huỳnh Văn Cường,1985,Bình Dương,982248924,Nhân viên tư vấn dịch vụ,2,Đại học GTVT,1,3,3.371286071201961,không,Đậu
Nguyễn Thanh Dũ,1989,Đồng Nai,903805956,IT Support,4,Đại học Nông lâm,4,5,3.3449528233112478,không,Đậu
Tăng Trường,1988,Đồng Nai,985515999,Lập trình viên ứng dụng di động,5,Đại học Công nghiệp,4,6,3.361108957368822,không,Đậu
Trịnh Xương Đình,1989,Tp. Hồ Chí Minh,903759767,Lập trình viên Frontend Website,0,Đại học Trần Đại Nghĩa,1,0,3.618980603433788,có ,Rớt
Chang Cheng Chieh,1983,Tp. Đà Nẵng,903800568,Lập trình viên Frontend Website,1,Đại học Công nghiệp,2,2,3.9878855301220124,không,Rớt
Liao Zu-Tzen,1982,Bình Dương,903504977,Chuyên viên quản lý dự án,0,Đại học GTVT,2,0,2.5065395508284825,không,Rớt
Nguyễn Văn Trọng,1997,Đồng Nai,903009821,Lập trình viên Frontend Website,0,Đại học Công nghiệp,0,0,2.972522381054633,có ,Rớt
Hồng Và Dưỡng,1984,Đồng Nai,908811003,Kĩ thuật viên an toàn thông tin,0,Đại học Văn Lang,0,0,3.435147671447093,không,Rớt
Nguyễn Thanh Phong,1992,Bình Dương,983322881,Chuyên viên phân tích hệ thống,3,Đại học Văn Lang,2,4,3.5070172624788185,không,Đậu
Nguyễn Minh Lý,1987,Bình Dương,908808056,Nhân viên văn phòng,2,Đại học HUTECH,2,3,3.243480381786762,không,Đậu
Phạm Sơn,1989,Tp. Hồ Chí Minh,903335558,Nhân viên bán hàng,2,Đại học Tôn Đức Thắng,5,3,3.6709352619360445,không,Đậu
Hoàng Minh Trung,1986,Bình Dương,908247780,Chuyên viên quản trị cơ sở dữ liệu,5,Đại học Quốc tế Sài Gòn,1,6,3.6167920383629206,có ,Đậu
Biebl Harald,1992,Bình Dương,903803622,Nhân viên Marketing Online,5,Đại học Văn Hiến,5,6,3.7963312595042886,có ,Đậu
Nguyễn Thị Bích Nga,1994,Tp. Hồ Chí Minh,903847513,Nhân viên bán hàng,1,Đại học Ngoại thương,3,2,3.7960445010354142,có ,Rớt
Trần Anh Tuấn,1990,Tp. Hồ Chí Minh,983322881,Nhân viên Marketing Media,5,Đại học Nguyễn Tất Thành,0,6,2.818081511628317,không,Đậu
Phạm Văn Thiện,1987,Tp. Hồ Chí Minh,903999770,Kĩ thuật viên vận hành thiết bị,4,Đại học Nông lâm,0,5,2.5667351077986114,có ,Đậu
Nguyễn Hữu Tâm,1992,Bình Dương,918373835,Kĩ thuật viên vận hành thiết bị,3,Đại học Công nghiệp,2,4,3.787018755176187,có ,Đậu
Đỗ Đầy Đủ,1994,Tp. Hồ Chí Minh,913230576,Biên dịch viên,2,Đại học Công nghiệp,1,3,3.1740226750568468,có ,Đậu
Phan Mạnh Cường,1981,Tp. Hồ Chí Minh,903504993,Lập trình viên Backend Website,0,Đại học Hoa sen,2,0,3.352252287693059,có ,Rớt
Nguyễn Hữu Hà,1984,Tp. Hồ Chí Minh,908122527,Nhân viên Marketing Media,0,Đại học Trần Đại Nghĩa,3,0,3.260139259167515,không,Rớt
Võ Trọng Dũng,1989,Tp. Hồ Chí Minh,913895491,IT Support,5,Đại học Văn Hiến,1,6,3.2961516950490415,có ,Đậu
Nguyễn Thị Ngọc Bích,1991,Tp. Hồ Chí Minh,903611127,Designer,0,Đại học Đồng Nai,4,0,3.1369798551674104,không,Rớt
Nguyễn Thanh Tùng,1984,Tp. Hồ Chí Minh,908244787,Kĩ thuật viên an toàn thông tin,4,Đại học GTVT,4,5,3.0630341366240956,có ,Đậu
Hoàng Thị Thanh Thủy,1984,Tp. Hồ Chí Minh,974831368,Chuyên viên hỗ trợ người dùng,2,Đại học Quốc tế Sài Gòn,4,3,3.194112412830237,không,Đậu
Nguyễn Quý Cáp,1994,Tp. Hồ Chí Minh,988660720,Kĩ thuật viên vận hành thiết bị,4,Đại học Công nghiệp,3,5,2.5904722891214176,có ,Đậu
Nguyễn Viết Dũng,1995,Tp. Hồ Chí Minh,908533323,Chuyên viên quản lý dự án,4,Đại học Hoa sen,0,5,3.045070191570651,có ,Đậu
Võ Phước Lâm,1981,Tp. Hồ Chí Minh,903439575,Lập trình viên ứng dụng di động,2,Đại học sư phạm kĩ thuật,2,3,3.4075109227317713,không,Đậu
Đặng Nguyên Giang,1993,Hà Nội,916669979,Biên dịch viên,3,Đại học Hồng Bàng,3,4,2.855935169558108,không,Đậu
Tô Thanh Tùng,1989,Tp. Hồ Chí Minh,907118226,Chuyên viên chăm sóc khách hàng,0,Đại học Ngoại thương,5,0,3.198335500328313,có ,Rớt
Lê Bá Khuôn,1988,Tp. Hồ Chí Minh,903415566,Chuyên viên triển khai dự án,0,Đại học Khoa học Tự nhiên,0,0,3.2683751829785996,không,Rớt
Didier Montarou,1995,Tp. Hồ Chí Minh,903510227,IT Helpdesk,1,Đại học Tôn Đức Thắng,0,2,2.6655637535945558,có ,Rớt
Trần Ngọc Phúc,1982,Tp. Hồ Chí Minh,909892345,Chuyên viên quản trị cơ sở dữ liệu,2,Đại học Quốc tế Sài Gòn,0,3,2.510547230946404,không,Đậu
Lê Thị Thanh Tâm,1989,Tp. Hồ Chí Minh,913231311,Nhân viên Marketing Online,1,Đại học Bách Khoa,0,2,3.425172111100384,không,Rớt
Lưu Đình Tuấn,1994,Tp. Hồ Chí Minh,903746419,Chuyên viên quản trị cơ sở dữ liệu,5,Đại học Trần Đại Nghĩa,5,6,2.9275156560655446,có ,Đậu
Nguyễn Thị Huỳnh Hoa,1986,Tp. Hồ Chí Minh,983265617,Biên dịch viên,5,Đại học Nông lâm,2,6,3.31807905254655,không,Đậu
Nguyễn Minh Hoàng,1994,Tp. Hồ Chí Minh,913527481,Nhân viên Content Marketing,2,Đại học Công nghệ thông tin,2,3,3.2074649983876187,có ,Đậu
Lê Tuyết Thanh,1995,Tp. Hồ Chí Minh,983871976,IT Support,3,Đại học Hoa sen,4,4,3.802240258030859,không,Đậu
Vũ Văn Tiến,1994,Tp. Hồ Chí Minh,983455555,Chuyên viên phân tích dữ liệu,5,Đại học Ngoại thương,4,6,3.7052192397407753,có ,Đậu
Trần Quốc Hưng,1998,Tp. Hồ Chí Minh,905261581,Chuyên viên quản trị cơ sở dữ liệu,1,Đại học Quốc tế Sài Gòn,4,2,3.36312455714394,không,Rớt
Trần Thành Trung,1989,Tp. Hồ Chí Minh,913636103,IT Support,0,Đại học GTVT,5,0,2.8019900545672547,không,Rớt
Phan Khánh Hiền,1982,Tp. Hồ Chí Minh,903692046,Nhân viên Content Marketing,3,Đại học Tôn Đức Thắng,0,4,3.4292402024119735,không,Đậu
Nguyễn Quang Trí,1980,Tp. Hồ Chí Minh,903801796,Chuyên viên triển khai dự án,1,Đại học Hồng Bàng,1,2,3.724677925435081,có ,Rớt
